review_id,text,label,source,language
4135a6e6-df79-40d0-bd8a-9538696ecd0c,ดูซีรีส์แนวคอมเมดี้เรื่องนี้แล้วติดเลย. ความเข้มข้นลงตัว / เพลงประกอบทำถึง / ทว่า พล็อตไม่สมเหตุสมผล. แนะนำให้ดูเลย.,Positive,synthetic_netflix_like_thai,th
abbcd7b6-c27e-4f23-8b96-1227a99c9f42,อนิเมะไซไฟเรื่องนี้ดีเกินคาด. ความเข้มข้นน่าประทับใจ / ความยาวดีเกินคาด / แต่ว่า บทพูดไม่สมเหตุสมผล. บางซีนคือเกินไป. แนะนำให้ดูเรย. งงมาก ✨,Positive,synthetic_netflix_like_thai,th
2537fbdd-7875-4f61-b04b-3d20ca8dd1d0,สารคดีดราม่าเรื่องนี้ผิดหวัง. การเดินเรื่องไม่สมเหตุสมผล / บทพูดไม่สมเหตุสมผล / แต่ ตอนจบน่าประทับใจ. หวังว่าจะทำดีกว่านี้. พอได้อยู่,Negative,synthetic_netflix_like_thai,th
6c79eb90-8ded-4f3b-92d2-201362ee4ce9,ดูสารคดีแนวไซไฟเรื่องนี้แล้วติดเลย. พล็อตดีเกินคาด / เพลงประกอบดีมาก. คุ้มเวลามาก. ดีงาม,Positive,synthetic_netflix_like_thai,th
87099145-d8ab-4753-beda-bd6cbd5b5318,หนังแนวแอคชั่นเรื่องนี้ไม่ค่อยไหว. ความยาวพัง / จังหวะไม่โอเค. ตอนจบหักมุมดี. ส่วนตัวนะ จบแล้วเฉยๆ. ไม่ไหว 🥲,Negative,synthetic_netflix_like_thai,th
3b156a57-69b4-4321-b93d-9f1e06b759de,สนุกมากสำหรับสารคดีโรแมนติก. พล็อตดีมาก / จังหวะดีเกินคาด / แต่คือ การเดินเรื่องไม่โอเค. แนะนำให้ดูเลย. 👍,Positive,synthetic_netflix_like_thai,th
2205c173-160d-4ea0-b882-b630bd2274cf,หนังไซไฟเรื่องนี้ดีเกินคาด. นักแสดงลงตัว / ความยาวดีเกินคาด / แต่ว่า งานภาพน่าเบื่อ. บางซีนคือเกินไป. อยากให้มีซีซั่นต่อ. 😊,Positive,synthetic_netflix_like_thai,th
ab084e71-da12-4152-b2bc-92a90bbabc0b,สนุกมากสำหรับอนิเมะแอคชั่น. บทพูดดีเกินคาด / งานภาพทำถึง / แต่ว่า จังหวะไม่สมเหตุสมผล. สำหรับเรา อยากให้มีซีซั่นต่อ.555,Positive,synthetic_netflix_like_thai,th
eb15ca6b-6c60-4806-9569-7ac92ca99145,ดูหนังแนวสยองขวัญเรื่องนี้แล้วติดเลย. การเดินเรื่องน่าประทับใจ / งานภาพน่าประทับใจ / แต่ว่า ความเข้มข้นไม่โอเค. อยากให้มีซีซั่นต่อ. 😊สุดๆ,Positive,synthetic_netflix_like_thai,th
ec980352-4ae8-48a3-be83-e7e3d01834a4,ดูอนิเมะแนวโรแมนติกเรื่องนี้แล้วติดเลย. จังหวะทำถึง / นักแสดงทำถึง. ดูจบแล้วอิ่มเอม.,Positive,synthetic_netflix_like_thai,th
03e18dfb-bf75-4d1f-b731-ca170801b989,ดูแล้วรู้สึกเสียเวลาไปหน่อย. ตอนจบหลวมๆ / ความเข้มข้นไม่สมเหตุสมผล / แต่คือ บทพูดดีมาก. บางซีนคือเกินไป. จบแล้วเฉยๆ.,Negative,synthetic_netflix_like_thai,th
ab5439ab-fa1e-4e93-ae10-6b70c983d9cf,สนุกมากสำหรับหนังสืบสวน. ความเข้มข้นน่าประทับใจ / งานภาพดีเกินคาด. มีหลายฉากที่ชอบมาก. ดูจบแล้วอิ่มเอม. 👍,Positive,synthetic_netflix_like_thai,th
d22f9661-b741-4005-bb90-7f1e6caba1ed,สนุกมากสำหรับหนังสืบสวน. บทพูดทำถึง / ความยาวดีเกินคาด. บางซีนคือเกินไป. คุ้มเวลามาก.,Positive,synthetic_netflix_like_thai,th
1f70eae9-10ff-47bb-baab-e6923470e586,ดูซีรีส์แนวไซไฟเรื่องนี้แล้วติดเลย. บทพูดทำถึง / พล็อตดีมาก / แต่ว่า งานภาพไม่โอเค. คุ้มเวลามาก. 🔥,Positive,synthetic_netflix_like_thai,th
72c200ee-fdf3-42af-9b3b-99373b91319e,อนิเมะสยองขวัญเรื่องนี้ผิดหวัง. ความเข้มข้นหลวมๆ / ความยาวหลวมๆ. ไม่แนะนำเท่าไร.,Negative,synthetic_netflix_like_thai,th
866c661e-092d-488e-aeb2-a1ff2a5f6282,สารคดีแนวโรแมนติกเรื่องนี้ไม่ค่อยไหว. บทพูดไม่โอเค้ / ตอนจบไม่สมเหตุสมผล. ส่วนตัวนะ หวังว่าจะทำดีกว่านี้.,Negative,synthetic_netflix_like_thai,th
64f70c59-4c0d-4fa9-b941-14c17b18b4bf,ดูสารคดีแนวโรแมนติกเรื่องนี้แล้วติดเลย. การเดินเรื่องทำถึง / ตอนจบดีเกินคาด / แต่ก็ ตอนจบไม่โอเค. ถ้าใครชอบแนวนี้ คุ้มเวลามาก. 😋,Positive,synthetic_netflix_like_thai,th
b2713867-d85d-4cd2-9705-7be8027ea02a,ซีรีส์สืบสวนเรื่องนี้ผิดหวัง. ความเข้มข้นพัง / พล็อตหลวมๆ. มีหลายฉากที่ชอบมาก. หวังว่าจะทำดีกว่านี้. 💀,Negative,synthetic_netflix_like_thai,th
7fc3e802-4a54-4b27-9e09-35cfa4cb25f2,ดูซีรีส์แนวโรแมนติกเรื่องนี้แล้วติดเลย. ตอนจบลงตัว / การเดินเรื่องทำถึง / แต่ว่า งานภาพไม่สมเหตุสมผล. ดูจบแล้วอิ่มเอม.,Positive,synthetic_netflix_like_thai,th
1474d2c6-bd0c-44c9-9978-d11c57102cec,หนังแนวทริลเลอร์เรื่องนี้ไม่ค่อยไหว. ตอนจบไม่โอเค / นักแสดงหลวมๆ. จบแล้วเฉยๆ.,Negative,synthetic_netflix_like_thai,th
78cb91ad-addb-4ab8-a414-b61bd2e3b320,หนังสืบสวนเรื่องนี้ดีเกินคาด. นักแสดงดีม้าก / เพลงประกอบน่าประทับใจ. ช่วงกลางแอบย้วย. ดูจบแล้วอิ่มเอม.,Positive,synthetic_netflix_like_thai,th
453a3ca8-6017-4479-83d9-6f15af36c51e,ดูแล้วรู้สึกเสียเวลาไปหน่อย. นักแสดงน่าเบื่อ / จังหวะไม่สมเหตุสมผล. จบแล้วเฉยๆ.สุดๆ,Negative,synthetic_netflix_like_thai,th
e41ed64c-ab0c-4b4f-910a-9fbcda7d6115,สนุกมากสำหรับสารคดีสยองขวัญ. เพลงประกอบทำถึง / บทพูดดีมาก. ดูจบแล้วอิ่มเอม.,Positive,synthetic_netflix_like_thai,th
9072c08a-7626-436f-8444-a87171dfa9e4,หนังคอมเมดี้เรื่องนี้ผิดหวัง. จังหวะหลวมๆ / พล็อตไม่สมเหตุสมผล. ไม่แนะนำเท่าไร. 💀,Negative,synthetic_netflix_like_thai,th
3a30131b-4804-4f25-a6c2-dc389e3ded61,หนังคอมเมดี้เรื่องนี้ผิดหวัง. ตอนจบไม่สมเหตุสมผล / ความเข้มข้นน่าเบื่อ / แต่คือ พล็อตดีเกินคาด. คงไม่ดูซ้ำ. 😤,Negative,synthetic_netflix_like_thai,th
41db97e5-ac71-479c-bfc2-f5dc4a42a5d7,อนิเมะสืบสวนเรื่องนี้ดีเกินคาด. จังหวะดีมาก / งานภาพดีมาก. อยากให้มีซีซั่นต่อ. 😍,Positive,synthetic_netflix_like_thai,th
f2cfad26-6233-4932-a75f-1a1ca1b11ba8,ดูแล้วรู้สึกเสียเวลาไปหน่อย. ความยาวน่าเบื่อ / การเดินเรื่องไม่โอเค. จบแล้วเฉยๆ.,Negative,synthetic_netflix_like_thai,th
4549a46e-6fce-4acb-85dc-717652eeb486,อนิเมะไซไฟเรื่องนี้ผิดหวัง. ตอนจบน่าเบื่อ / พล็อตไม่โอเค. ตอนจบหักมุมดี. คงไม่ดูซ้ำ.,Negative,synthetic_netflix_like_thai,th
5c5d195d-a4a2-438c-9487-b7af90892864,สนุกมากสำหรับอนิเมะทริลเลอร์. จังหวะทำถึง / บทพูดลงตัว / แต่ว่า การเดินเรื่องไม่สมเหตุสมผล. สำหรับเรา อยากให้มีซีซั่นต่อ. 😋,Positive,synthetic_netflix_like_thai,th
bda2bba4-c01e-4e1b-bea8-ae7ee7079da7,สนุกมากสำหรับอนิเมะคอมเมดี้. การเดินเรื่องลงตัว / ความเข้มข้นดีเกินคาด / แต่คือ การเดินเรื่องไม่โอเค. ดูจบแล้วอิ่มเอม.,Positive,synthetic_netflix_like_thai,th
ae8a8587-d28a-414c-a676-27e81356eab3,ดูอนิเมะแนวไซไฟเรื่องนี้แล้วติดเลย. นักแสดงทำถึง / ความยาวดีเกินคาด / แต่คือ เพลงประกอบหลวมๆ. ตอนจบหักมุมดี. ดูจบแล้วอิ่มเอม. โคตร,Positive,synthetic_netflix_like_thai,th
